license	rows	seq	family	version	scope_raw	scope	terms	status	note	source
	403	1	none-found			unstated	none-found	draft	blank cell: no LICENSE file or README statement found in the files checked	repo
MIT	95	1	MIT			unstated	permissive	draft		repo
CC BY-SA 4.0	83	1	CC-BY-SA	4.0		unstated	copyleft	draft		repo
GPL v3	75	1	GPL	3		unstated	copyleft	draft		repo
CC BY-NC-SA 4.0	57	1	CC-BY-NC-SA	4.0		unstated	non-commercial	draft		repo
open source, no licence named	45	1	none-named			unstated	none-named	draft		repo
CC BY-SA	40	1	CC-BY-SA			unstated	copyleft	draft		repo
custom (free for DIY; contact the author before retail)	30	1	custom			unstated	custom	draft	qualifier: free for DIY; contact the author before retail	repo
CC BY-SA 3.0 (hardware) / MIT (STM32 code) / GPL v3 (AVR code)	26	1	CC-BY-SA	3.0	hardware	hardware	copyleft	draft		repo
CC BY-SA 3.0 (hardware) / MIT (STM32 code) / GPL v3 (AVR code)	26	2	MIT		STM32 code	software	permissive	draft		repo
CC BY-SA 3.0 (hardware) / MIT (STM32 code) / GPL v3 (AVR code)	26	3	GPL	3	AVR code	software	copyleft	draft		repo
CC BY-SA 3.0	18	1	CC-BY-SA	3.0		unstated	copyleft	draft		repo
CC BY-NC 4.0	14	1	CC-BY-NC	4.0		unstated	non-commercial	draft		repo
CERN-OHL-W-2.0	14	1	CERN-OHL-W	2.0		unstated	copyleft	draft		repo
CC BY-SA 4.0 (hardware)	13	1	CC-BY-SA	4.0	hardware	hardware	copyleft	draft		repo
BSD 3-Clause	12	1	BSD			unstated	permissive	draft		repo
CC0-1.0	12	1	CC0	1.0		unstated	public-domain	draft		repo
GPL	8	1	GPL			unstated	copyleft	draft		repo
GPL v2	7	1	GPL	2		unstated	copyleft	draft		repo
MIT (software)	6	1	MIT		software	software	permissive	draft		repo
CC BY 4.0	4	1	CC-BY	4.0		unstated	permissive	draft		repo
CC0	3	1	CC0			unstated	public-domain	draft		repo
Apache 2.0	2	1	Apache	2.0		unstated	permissive	draft		repo
CC BY-NC 4.0 (hardware)	2	1	CC-BY-NC	4.0	hardware	hardware	non-commercial	draft		repo
CC BY-SA 3.0 (hardware) / CC BY-SA 4.0 (software)	2	1	CC-BY-SA	3.0	hardware	hardware	copyleft	draft		repo
CC BY-SA 3.0 (hardware) / CC BY-SA 4.0 (software)	2	2	CC-BY-SA	4.0	software	software	copyleft	draft		repo
CC BY-SA 4.0 (PCB/panel) / GPL v3 (firmware)	2	1	CC-BY-SA	4.0	PCB/panel	hardware	copyleft	draft		repo
CC BY-SA 4.0 (PCB/panel) / GPL v3 (firmware)	2	2	GPL	3	firmware	software	copyleft	draft		repo
CERN-OHL-P v2	2	1	CERN-OHL-P	2		unstated	permissive	draft		repo
GPL v3 (code)	2	1	GPL	3	code	software	copyleft	draft		repo
BSD	1	1	BSD			unstated	permissive	draft		repo
CC BY-NC-SA 3.0	1	1	CC-BY-NC-SA	3.0		unstated	non-commercial	draft		repo
CC BY-NC-SA 3.0 (hardware)	1	1	CC-BY-NC-SA	3.0	hardware	hardware	non-commercial	draft		repo
CC BY-NC-SA 3.0 (hardware) / MIT (firmware)	1	1	CC-BY-NC-SA	3.0	hardware	hardware	non-commercial	draft		repo
CC BY-NC-SA 3.0 (hardware) / MIT (firmware)	1	2	MIT		firmware	software	permissive	draft		repo
CC BY-NC-SA 4.0 (hardware)	1	1	CC-BY-NC-SA	4.0	hardware	hardware	non-commercial	draft		repo
